baseball	IsA	sport
yo-yo	IsA	toy
dog	CapableOf	bark
pen	UsedFor	write
something that be very good	HasProperty	good
dog	IsA	mammal
polo	IsA	game
bottle	MadeOf	plastic
book	MadeOf	paper
sex	HasProperty	fun
gold	IsA	metal
sushi	IsA	food
telephone	UsedFor	communicate
sleep	HasSubevent	dream
soccer	IsA	sport
fish	AtLocation	water
rose	IsA	flower
cloud	AtLocation	sky
linux	IsA	operate system
child	AtLocation	school
fly	IsA	insect
computer	AtLocation	office
apple	HasProperty	red
clothe	AtLocation	closet
book	AtLocation	shelf
violin	IsA	string instrument
bottle	MadeOf	glass
coat	AtLocation	closet
computer	AtLocation	library
key	UsedFor	open lock
cat	CapableOf	hunt mouse
camera	UsedFor	take picture
basketball player	HasProperty	tall
bass	IsA	fish
spoon	UsedFor	eat
paper clip	AtLocation	desk
keyboard	PartOf	computer
paper	MadeOf	wood
computer	UsedFor	work
shark	AtLocation	any ocean
chicken	CapableOf	cross road
hammer	UsedFor	drive nail
word	AtLocation	book
keyboard	UsedFor	type
animal	AtLocation	zoo
water	UsedFor	drink
window	MadeOf	glass
net	UsedFor	catch fish
dog	AtLocation	kennel
dog	IsA	animal
attend school	HasSubevent	learn
librarian	AtLocation	library
football	IsA	game
water	AtLocation	lake
car	CapableOf	go fast
sky	HasProperty	blue
football	IsA	sport
love	IsA	emotion
knife	CapableOf	spread butter
music	HasProperty	soothe
ball	HasProperty	round
see	IsA	tool
do housework	Causes	clean house
dog	IsA	pet
tennis	IsA	sport
lion	IsA	animal
statue of liberty	IsA	gift from france
bird	HasA	feather
teacher	CapableOf	school student
pool	UsedFor	swim
wing	UsedFor	fly
shoe	AtLocation	closet
sleep	HasSubevent	snore
human	CapableOf	die only once
have checkup	HasPrerequisite	go to doctor
have haircut	HasPrerequisite	go to barber
bus stop	UsedFor	wait for bus
book	UsedFor	learn
chair	AtLocation	office
see	UsedFor	cut wood
plant	HasA	leave
book	ReceivesAction	read
pilot	CapableOf	land plane
person	NotCapableOf	fly
doctor	HasProperty	smart
see exhibit	HasPrerequisite	go to museum
cup	CapableOf	hold liquid
food	AtLocation	refrigerator
car	MadeOf	metal
trout	IsA	fish
cheese	MadeOf	milk
sunset	HasProperty	pretty
see band	HasPrerequisite	buy ticket
car	HasA	seat
boy	CapableOf	date girl
penguin	NotCapableOf	fly
read	Causes	learn
do housework	Causes	have clean house
bed	UsedFor	have sex
turtle	IsA	reptile
match	UsedFor	start fire
carpet	UsedFor	cover floor
knife	AtLocation	kitchen
eat	HasSubevent	chew
sex	IsA	activity
vegetable	IsA	food
toe	PartOf	foot
book	UsedFor	read
pilot	CapableOf	fly airplane
statue of liberty	IsA	in new york
maintain muscle strength	HasPrerequisite	exercise
guitar	HasA	six string
magician	CapableOf	fool audience
listen to music	HasPrerequisite	turn on radio
doll	IsA	toy
ocean	HasA	salt water
commit perjury	HasPrerequisite	lie
cloth	UsedFor	clean
key	CapableOf	open door
cloth	UsedFor	make clothe
smoke	Causes	lung cancer
buy something	HasPrerequisite	have money
sleep	HasPrerequisite	close your eye
pen	AtLocation	office
rock	IsA	music
pan	UsedFor	cook
exercise	Causes	sweat
student	CapableOf	study
car	AtLocation	park lot
bird	AtLocation	sky
book	AtLocation	library
venus	IsA	planet
swiss cheese	HasA	hole
fruit	HasProperty	good for you
boat	UsedFor	travel on water
seven day	AtLocation	week
have physical exam	HasPrerequisite	go to doctor
rain	IsA	water
host	CapableOf	welcome guest
key	CapableOf	open lock
saddle	UsedFor	ride horse
love	CausesDesire	kiss someone
tickle	HasSubevent	laugh
bookshelf	AtLocation	library
carpet	AtLocation	house
glass	AtLocation	cupboard
shirt	AtLocation	closet
apple	HasProperty	green
peach	IsA	fruit
book	UsedFor	study
silver	IsA	metal
finch	IsA	bird
cat	CapableOf	drink water
tree	HasA	leave
horse	HasA	four leg
seven continent	AtLocation	earth
corn	IsA	vegetable
murder	IsA	crime
shingle	AtLocation	roof
diminish your own hunger	HasPrerequisite	eat
someone	AtLocation	hospital
start family	HasSubevent	have sex
fruit	UsedFor	eat
have checkup	HasPrerequisite	make doctor appointment
bicycle	AtLocation	garage
money	AtLocation	bank
cat	AtLocation	bed
water	AtLocation	river
golden retriever	IsA	dog
blue	IsA	color
chicken	CapableOf	lie egg
bed	AtLocation	bedroom
iron	IsA	metal
java	IsA	program language
ostrich	IsA	bird
ant	IsA	insect
house	HasA	window
car	HasA	four wheel
jellyfish	AtLocation	most ocean
dog	CapableOf	guide blind person
boat	AtLocation	water
earth	HasA	one moon
bicycle	HasA	two wheel
go to sport event	HasPrerequisite	buy ticket
dream	HasPrerequisite	sleep
music	IsA	sound
saxophone	IsA	musical instrument
light match	Causes	fire
